time,temperature_2m_max,temperature_2m_min,precipitation_sum
2013-01-01,28.3,23.1,15.2
2013-01-02,27.1,22.6,19.0
2013-01-03,28.2,23.2,21.2
2013-01-04,28.9,22.4,7.6
2013-01-05,26.1,22.9,94.6
2013-01-06,27.5,22.7,16.0
2013-01-07,29.9,22.4,7.5
2013-01-08,28.5,22.5,0.9
2013-01-09,27.9,22.7,10.0
2013-01-10,30.4,24.0,0.6
2013-01-11,30.3,24.8,1.3
2013-01-12,30.1,24.0,5.1
2013-01-13,28.9,23.2,17.5
2013-01-14,27.8,22.9,9.2
2013-01-15,28.2,22.2,13.9
2013-01-16,27.8,22.6,5.5
2013-01-17,29.2,21.8,7.6
2013-01-18,29.0,22.5,6.3
2013-01-19,29.4,22.4,9.2
2013-01-20,28.8,23.4,27.8
2013-01-21,29.6,22.5,7.7
2013-01-22,29.3,22.3,7.5
2013-01-23,29.1,22.7,16.9
2013-01-24,26.0,22.9,13.7
2013-01-25,28.8,22.4,3.5
2013-01-26,28.7,21.9,14.1
2013-01-27,29.5,21.8,8.3
2013-01-28,28.4,21.7,12.3
2013-01-29,29.8,22.1,17.2
2013-01-30,29.0,22.0,26.4
2013-01-31,28.4,22.9,19.4
2013-02-01,27.6,23.0,16.3
2013-02-02,27.0,22.8,4.7
2013-02-03,25.7,22.3,19.9
2013-02-04,28.4,21.6,3.0
2013-02-05,29.2,23.3,7.4
2013-02-06,29.8,23.4,0.2
2013-02-07,29.6,23.1,0.2
2013-02-08,29.8,23.7,0.2
2013-02-09,29.9,23.5,1.2
2013-02-10,28.7,22.5,8.0
2013-02-11,28.1,23.1,1.8
2013-02-12,28.8,23.5,20.1
2013-02-13,28.8,23.7,4.8
2013-02-14,28.6,23.2,4.7
2013-02-15,28.3,21.8,8.8
2013-02-16,27.7,21.9,6.5
2013-02-17,28.5,22.3,15.6
2013-02-18,28.0,22.1,7.9
2013-02-19,27.8,23.4,16.5
2013-02-20,28.1,22.9,11.3
2013-02-21,29.1,22.0,3.0
2013-02-22,29.6,23.7,10.2
2013-02-23,27.7,22.6,11.1
2013-02-24,29.3,23.7,10.1
2013-02-25,30.7,23.1,8.9
2013-02-26,30.1,23.7,18.4
2013-02-27,29.8,23.1,10.4
2013-02-28,30.3,22.4,7.1
2013-03-01,29.4,23.5,4.1
2013-03-02,28.6,23.3,17.0
2013-03-03,28.5,23.1,4.5
2013-03-04,29.6,23.1,7.1
2013-03-05,28.8,22.6,15.5
2013-03-06,28.8,22.8,12.8
2013-03-07,29.1,22.3,7.1
2013-03-08,28.7,24.6,11.8
2013-03-09,27.7,22.2,15.0
2013-03-10,29.2,22.5,27.6
2013-03-11,28.7,22.0,2.1
2013-03-12,28.4,22.9,9.2
2013-03-13,29.2,23.1,5.0
2013-03-14,27.9,22.9,26.6
2013-03-15,28.7,22.5,42.7
2013-03-16,27.4,22.3,26.3
2013-03-17,27.8,22.1,18.9
2013-03-18,27.5,22.8,18.0
2013-03-19,28.4,22.2,2.3
2013-03-20,30.1,21.7,0.0
2013-03-21,29.3,20.9,1.1
2013-03-22,30.0,22.8,0.2
2013-03-23,29.2,22.7,2.7
2013-03-24,29.1,22.3,2.0
2013-03-25,29.7,22.2,0.8
